id,key,name,project.id,jiraProjectVersion,status.id,folder.id,description,plannedStartDate,plannedEndDate,owner.accountId,Environment,links.issues.self,links.issues.issueId,links.issues.id,links.issues.target,links.issues.type,links.webLinks.self,links.webLinks.description,links.webLinks.url,links.webLinks.id,links.webLinks.type,links.testPlans.id,links.testPlans.testPlanId,links.testPlans.type,links.testPlans.target
23474484,TBCC-R265,TBCC-1533 - Permitir a inclusão de grupo de empresas,296786,,5360306,15022100.0,,2024-06-26T18:48:50Z,2024-06-26T18:48:50Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/91408619,146239,91408619,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/146239,RELATED,,,,,,,,,
23474561,TBCC-R266,TBCC-1510 - Permitir consulta de grupo de empresas,296786,,5360306,15022141.0,,2024-06-26T18:56:27Z,2024-06-26T18:56:27Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/91409511,146161,91409511,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/146161,RELATED,,,,,,,,,
23476661,TBCC-R267,RegressivoAUT_Corporate_26-06-2024T21:59:43,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23507423,TBCC-R268,RegressivoAUT_Corporate_27-06-2024T18:27:59,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23508841,TBCC-R269,RegressivoAUT_Corporate_27-06-2024T20:30:21,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23543686,TBCC-R270,RegressivoAUT_Corporate_28-06-2024T18:46:59,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23546912,TBCC-R271,RegressivoAUT_Corporate_28-06-2024T19:43:26,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23586091,TBCC-R272,TBCC-1293 - Validar regras de interveniência,296786,,5360306,15058996.0,,2024-07-01T17:02:06Z,2024-07-01T17:02:06Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/91783027,224938,91783027,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/224938,RELATED,,,,,,,,,
23631740,TBCC-R273,RegressivoAUT_Corporate_03-07-2024T13:20:21,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23637636,TBCC-R274,TBCC-991 - [Devices] - Create devices - Criação de dispositivos para empresa,296786,,5360306,15112332.0,,2024-07-03T17:53:41Z,2024-07-03T17:53:41Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/92021832,186027,92021832,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/186027,RELATED,,,,,,,,,
23640007,TBCC-R275,RegressivoAUT_Corporate_03-07-2024T20:7:12,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23676470,TBCC-R276,RegressivoAUT_Corporate_04-07-2024T22:17:6,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23780525,TBCC-R277,RegressivoAUT_Corporate_10-07-2024T13:58:20,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23786892,TBCC-R278,RegressivoAUT_Corporate_10-07-2024T18:2:3,296786,,5360306,13863429.0,,,,,QA,,,,,,,,,,,,,,
23787751,TBCC-R279,TBCC-1278 - [UserManagement] - Atualizar permissões do usuário por id (Inclusão e Exclusão),296786,,5360306,15182546.0,,2024-07-10T18:48:37Z,2024-07-10T18:48:37Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/92404712,223035,92404712,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/223035,RELATED,,,,,,,,,
24870607,TBCC-R280,TBCC-1100 - [UserManagement] - [Usuário] - Recuperar lista de usuários de uma companhia,296786,,5360306,16214736.0,,2024-08-16T17:03:08Z,2024-08-16T17:03:08Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/95856100,216266,95856100,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/216266,RELATED,,,,,,,,,
24870731,TBCC-R281,TBCC-1101 - [UserManagement] - [Usuário] - Recuperar detalhes de usuários,296786,,5360306,16214754.0,,2024-08-16T17:07:34Z,2024-08-16T17:07:34Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/95856377,216281,95856377,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/216281,RELATED,,,,,,,,,
24928310,TBCC-R282,TBCC-1058 - [Areas] - Get Areas by Id - Busca de hierarquias por company Id,296786,,5360306,16248564.0,,2024-08-19T19:09:14Z,2024-08-19T19:09:14Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,,,,,,,,,,,,,,
24928946,TBCC-R283,TBCC-1060 - [Areas] - Patch Area - Manutenção de Hierarquia de Área,296786,,5360306,16248792.0,,2024-08-19T19:56:50Z,2024-08-19T19:56:50Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,,,,,,,,,,,,,,
24929315,TBCC-R284,TBCC-1064 - [Areas] - Debit Restriction - Restrição de valor de Área da Hierarquia,296786,,5360306,16248899.0,,2024-08-19T20:30:16Z,2024-08-19T20:30:16Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,,,,,,,,,,,,,,
24960824,TBCC-R285,TBCC-1066 - [Areas] Change Owner - Atualização de Hierarquia (Level e Area),296786,,5360306,16267821.0,,2024-08-20T20:16:17Z,2024-08-20T20:16:17Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,,,,,,,,,,,,,,
24985408,TBCC-R286,TBCC-1072 - [Area] Criar endpoint de hierarquia - Consulta áreas filhas,296786,,5360306,16268984.0,,2024-08-21T12:36:09Z,2024-08-21T12:36:09Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,,,,,,,,,,,,,,
25018206,TBCC-R287,TBCC-1062 - [Areas] Create Area - inclusão de nova área na hierarquia,296786,,5360306,16403873.0,,2024-08-22T17:33:08Z,2024-08-22T17:33:08Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,,,,,,,,,,,,,,
